-2018660.19217883,4280075.2386001125,4263977.594904187
-2018657.8828756316,4280070.393860844,4263983.511342994
-2018648.8039760794,4280066.1568176495,4263992.005298957
-2018632.9616855145,4280066.790743035,4263998.823128103
-2018610.9469943272,4280074.842710647,4264001.147337539
-2018588.1964576258,4280109.674071693,4263977.265835315
-2018596.2465992607,4280155.897799254,4263927.2436990645
-2018660.1049875438,4280191.851034781,4263861.366656402
-2018792.9571820667,4280180.655757635,4263810.054807672
-2018974.9448275322,4280077.755102188,4263827.072346233
-2019126.904022952,4279852.552214584,4263980.153164032
-2019093.5568329105,4279529.206060821,4264318.229350423
-2018663.007710438,4279246.120309794,4264811.135189418
-2017883.3483159214,4279099.663509408,4265330.49604158
-2018655.1444573249,4280080.673921516,4263974.549286214
-2018652.3407280815,4280090.377132565,4263966.193094098
-2018656.650700619,4280101.050855514,4263953.524004741
-2018670.920821977,4280110.56293671,4263937.329345939
-2018716.3839069805,4280099.826652237,4263926.654869714
-2018768.3462369295,4280058.395417183,4263943.5287191
-2018795.4868407995,4279985.272231764,4264003.673748752
-2018752.397551091,4279899.519364446,4264109.437128748
-2018591.7096267128,4279849.604717901,4264234.768900491
-2018297.5736576063,4279919.147449352,4264311.935294766
-2017931.1750891628,4280196.15580928,4264214.739970403
-2017696.4964425561,4280724.915583814,4263797.89471157
-2017967.9769667527,4281406.961725272,4262990.191195904
-2018667.6361436534,4280074.691698558,4263974.6396474475
-2018679.5753958107,4280069.216653235,4263974.484107619
-2018691.0512219877,4280057.730621631,4263980.539791605
-2018697.7895242495,4280037.536048675,4263997.5062242225
-2018676.0353009314,4280016.323826674,4264028.886014273
-2018616.0508646362,4280011.424334767,4264061.978964434
-2018525.5844746097,4280050.0165677965,4264069.019172631
-2018435.981284215,4280147.073611649,4264014.383956234
-2018414.6074238794,4280299.621539996,4263872.336096931
-2018558.366931831,4280458.8602003185,4263645.962689983
-2018959.055222201,4280507.0815345105,4263406.481540198
-2019628.9689949336,4280271.840015579,4263340.88536571
-2020355.0386510636,4279544.788314718,4263709.328168689
